,Predicted Beta,Calculated Beta,Norms,Times,,Average Norm,Average Pred Beta,Average Calc,Time Sum
239,44.63416625,44,1.386966526,79.45616794,,,,,
240,43.71902693,40,1.350648183,74.28785181,,,,,
241,45.40592566,44,1.423943897,83.49518108,,,,,
242,44.36462264,36,1.372163743,71.63987517,,,,,
243,48.83505319,53,1.592402731,194.6333814,,,,,
244,41.06139303,49,1.233296017,132.0435472,,,,,
245,45.49000332,46,1.419934897,93.24790168,,,,,
246,44.84472086,42,1.393469391,71.33409953,,,,,
247,54.3926777,54,1.910171203,222.2425044,,,,,
248,45.82772431,42,1.435948265,81.94528723,,,,,
249,43.26117075,37,1.328228274,71.20182133,,,,,
